dept,reqDe_esc,banChoke&Stanglehold,duty2intervene,warnb4shoot,cantShootVehicles,reqCompRep,reqExhOthMeans,forceContinuum,numPolicies,killings,killingsPerMillion
Albuquerque,1,0,1,1,1,0,0,1,5,5,9.2
Anaheim,0,0,1,1,0,0,0,1,3,6,17.8
Anchorage,1,0,0,0,1,0,0,1,3,3,10.3
Arlington,1,0,0,0,1,1,1,1,5,3,8.2
Atlanta,0,1,0,0,0,0,0,1,2,4,9.5
Aurora,0,0,1,0,1,0,0,1,3,6,18.5
Austin,0,0,1,1,0,0,0,1,3,10,12.7
Bakersfield,0,0,0,1,0,0,0,0,1,7,20.1
Baltimore,0,0,0,1,0,0,1,0,2,7,12.9
Baton Rouge,0,0,0,0,0,0,1,1,2,3,13.1
Boston,0,1,0,0,1,0,1,1,4,3,4.9
Buffalo,0,0,0,0,1,0,1,1,3,0,0
Chandler,1,0,0,1,0,0,0,1,3,2,8.5
Charlotte,0,0,0,1,0,0,0,1,2,6,8.2
Chicago,1,0,0,0,1,0,0,1,3,14,5.2
Chula Vista,0,0,1,1,0,0,0,0,2,0,0
Cincinnati,1,0,0,1,1,0,1,1,5,6,20.2
Cleveland,1,1,1,0,1,0,0,1,5,2,5
Columbus,0,1,0,1,0,0,0,1,3,10,12.7
Corpus Christi,1,1,1,1,0,0,1,0,5,2,6.6
Dallas,1,0,0,0,0,0,1,1,3,7,5.8
Denver,1,0,0,1,0,0,1,1,4,7,11.7
Detroit,0,1,0,1,0,0,1,1,4,1,1.4
Durham,1,0,0,0,0,0,0,1,2,1,4.4
Fort Worth,0,1,0,0,0,0,0,1,2,6,8.1
Fremont,0,0,1,1,0,0,0,0,2,2,9.3
Fresno,0,0,0,1,0,0,0,0,1,7,14.2
Garland,0,0,0,1,0,0,0,0,1,2,8.8
Glendale,0,0,0,0,0,0,1,1,2,2,8.8
Greensboro,1,0,0,0,0,0,0,0,1,1,3.7
Henderson,1,0,1,0,0,0,1,1,4,1,3.9
Honolulu,1,0,0,1,0,0,6,1,3,2,5.9
Houston,0,0,0,0,0,0,0,1,1,16,7.6
Indianapolis,0,0,0,1,0,0,0,0,1,11,13.4
Irvine,0,0,1,1,0,0,0,1,3,0,0
Irving,0,0,0,0,0,0,0,0,0,2,9.2
Jacksonville,0,1,0,1,0,0,0,1,3,8,9.7
"Kansas City, MO",0,0,0,0,0,0,0,0,0,3,6.5
Laredo,0,0,0,1,0,0,1,1,3,2,8.5
Las Vegas,1,0,1,1,0,0,0,1,4,13,6.4
Lexington,0,0,0,0,0,1,1,1,3,0,0
Lincoln,1,0,0,1,0,0,1,1,4,2,7.7
Los Angeles,0,1,1,0,0,0,0,1,3,33,8.7
Louisville,1,0,0,1,1,0,1,1,5,2,3.3
Lubbock,0,0,0,0,0,0,1,1,1,0,0
Madison,0,1,0,1,0,0,1,1,4,2,8.6
Mesa,0,0,0,1,0,0,0,1,2,7,15.9
Miami,0,1,1,1,1,0,1,1,6,4,10
Milwaukee,6,0,1,1,0,0,0,1,3,2,3.4
Minneapolis,0,0,0,0,0,0,0,1,1,2,5.2
Nashville,0,0,0,1,0,0,1,1,3,3,5
New Orleans,1,1,1,0,1,1,0,1,6,4,11.6
New York,0,0,1,1,1,0,1,1,5,16,2
Newark,0,0,1,1,0,0,1,1,4,2,7.2
Norfolk,1,0,0,0,0,0,0,1,21,5,20.6
North Las Vegas,0,0,0,0,0,0,1,0,1,2,9.2
Oakland,1,0,1,0,0,1,1,1,5,5,12.8
Oklahoma City,0,0,0,1,0,0,0,1,2,12,20.7
Omaha,0,0,0,1,0,0,0,1,2,6,14.7
Orlando,0,0,0,0,0,0,0,1,1,6,25.2
Philadelphia,1,1,1,1,1,0,1,1,7,4,2.6
Phoenix,0,0,1,1,0,0,0,1,3,18,12.5
Pittsburgh,1,0,0,0,0,0,0,1,2,2,6.5
Plano,0,1,0,1,0,1,1,1,5,0,0
Portland,0,0,0,1,0,1,0,1,3,3,5.1
Raleigh,0,0,1,1,0,1,1,1,5,1,2.5
Reno,0,0,0,0,0,0,0,0,0,41,17.8
Riverside,1,0,0,1,0,0,0,1,3,0,0
Rochester,0,0,0,0,0,0,0,1,1,2,9.5
San Antonio,1,0,1,0,0,0,0,1,3,10,7.5
San Bernardino,1,0,1,1,0,0,0,1,4,3,14.3
San Diego,0,0,0,1,0,0,0,1,2,9,6.9
San Francisco,0,0,0,1,0,1,0,1,3,10,12.4
San Jose,0,0,0,0,0,0,0,1,1,8,8.5
Santa Ana,0,0,0,1,0,0,0,1,2,4,12.3
Scottsdale,0,0,0,1,0,0,0,1,2,1,4.6
Seattle,1,1,1,1,0,1,0,1,6,4,6.6
Spokane,0,0,1,1,0,0,0,1,3,3,14.4
St. Louis,0,0,0,1,1,0,1,1,4,6,18.8
St. Paul,1,1,1,1,0,1,1,1,7,5,17.5
St. Petersburg,1,1,0,1,1,0,1,1,6,1,4.1
Stockton,0,0,0,0,0,0,0,0,0,7,24
Tampa,0,0,0,0,0,0,0,1,1,4,11.9
Toledo,0,0,0,1,0,0,0,1,2,1,3.5
Tucson,0,0,0,0,1,0,1,1,3,6,11.5
Tulsa,0,1,0,1,0,0,0,1,3,3,7.7
Virginia Beach,0,1,1,1,0,1,0,0,4,2,4.6
Washington DC,1,1,0,1,1,1,1,1,7,4,6.6
Wichita,0,0,0,1,0,1,0,1,3,2,5.2
Winston-Salem,1,0,0,1,0,1,0,1,4,1,4.4
